index,ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,prod_id,prod_long_desc,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country,price_per_piece,amazon_rating
5019,7-12,167.88,63.0,847.0,3.8,Bring your LEGO® creations to life!,17101,"Combine the versatile LEGO® building system with advanced technology to boost your creativity with the awesome LEGO BOOST Creative Toolbox. Download the free tablet app to your device and follow the step-by-step instructions to build and code any of the 5 multifunctional models. Experience Vernie the Robot—a moving and talking robot; the M.T.R.4 (Multi-Tooled Rover 4)—a robust, versatile rover with 4 different tool attachments including a spring-loaded shooter; the Guitar4000—a musical instrument with pitch bend and sound effects; Frankie the Cat—an interactive pet that plays, purrs and expresses its mood; or the AutoBuilder—an automated production line that really builds miniature LEGO models! Bring your creations to life with the app’s intuitive, icon-based coding interface and complete an array of exciting activities designed for each model. This set also includes a playmat for use with specific activities, and a LEGO BOOST wall poster!
Includes over 840 LEGO® pieces, plus a LEGO Move Hub, Interactive Motor and a Color & Distance Sensor.
Move Hub features Bluetooth Low Energy (BLE) connectivity, 2 encoded motors, activation button, internal tilt sensor and a light.
Interactive Motor is an encoded motor.
Color & Distance Sensor detects distance, motion and color, and can also function as a light.
Check out the cool white, orange and blue color scheme.
Rotate Vernie's head to activate its shoulder-mounted spring-loaded shooter.
Build the M.T.R.4 (Multi-Tooled Rover 4) and try out the different tool and customization attachments to prepare the vehicle for an array of exciting activities.
Learn how to play a song and rock out with the Guitar4000.
Look after your own pet with Frankie the Cat. Be sure to feed it the right food—or it might get upset!
Construct, code and operate the AutoBuilder to produce real miniature LEGO® models.
Build and code robots and models, and complete exciting activities with the playmat and intuitive LEGO® BOOST app, available for iOS and Android tablet devices.
Easy-to-use intuitive software with icon-based drag-and-drop coding interface.
Building instructions for all 5 models are included with the free LEGO® BOOST app.
This product requires batteries (not included). Please refer to the product packaging for type and quantity.
Go to LEGO.com/DeviceCheck for a list of compatible devices. Ask your parents' permission.
Vernie the robot standsover 10” (27cm) tall.
M.T.R.4 (Multi-Tooled Rover 4) measures over 4” (12cm) high, 9” (23cm) long and 5” (14cm) wide.
Guitar4000 measures over 1” (5cm) high, 16” (42cm) long and 5” (15cm) wide.
Frankie the Cat stands over 6” (17cm) tall.
The AutoBuilder measures over 10” (27cm) high, 7” (19cm) long and 6” (16cm) wide.",Average,BOOST Creative Toolbox,3.4,BOOST,3.5,DN,0.19820543093270365,4.4
5020,10+,32.4,13.0,708.0,4.7,Build a LEGO® BrickHeadz version of yourself!,41597,"Fuel your creativity by making a LEGO® BrickHeadz version of yourself, friends and family or colleagues with this fun set. Create two BrickHeadz construction characters using the specially selected LEGO bricks for different hairstyles and skin color, plus there are two kinds of glasses, a sticker sheet to personalize your builds, and a brick separator. Display your creations on the buildable baseplates in your home, office or anywhere you like.
Create 2 unique LEGO® BrickHeadz construction characters with LEGO bricks.
Also includes a sticker sheet to add different details.
Comes with 2 buildable baseplates.
Have fun building your own LEGO® BrickHeadz characters, then share a selfie with your friends, family or colleagues.
Mash up your own LEGO® BrickHeadz persona with other famous BrickHeadz characters, to create a super-cool hybrid version of yourself.
These construction characters are suitable for ages 10+.
Baseplates measures over 1” (4cm) square.",Average,Go Brick Me,4.8,BrickHeadz,4.8,DN,0.04576271186440678,4.6
5021,10+,24.0,1.0,234.0,3.0,Train a raptor with LEGO® BrickHeadz™ Owen and Blue!,41614,"These LEGO® BrickHeadz™ 41614 Owen & Blue construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from the blockbuster Jurassic World: Fallen Kingdom movie, including a dino trainer, Owen’s tranquilizer gun and velociraptor Blue's ferocious white teeth. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Owen and Blue have BrickHeadz eyes and authentic details from the blockbuster Jurassic World: Fallen Kingdom movie, including Owen’s tranquilizer gun and velociraptor Blue’s white teeth.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Each stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Easy,Owen & Blue,5.0,BrickHeadz,5.0,DN,0.10256410256410256,4.9
5022,10+,24.0,1.0,160.0,5.0,Join Mr. Incredible and Frozone for LEGO® BrickHeadz™ crime-fighting fun!,41613,"These LEGO® BrickHeadz™ 41613 Mr. Incredible & Frozone construction characters are fun to build using colorful LEGO bricks that recreate all their iconic details from Disney•Pixar’s blockbuster Incredibles 2 movie. Each character stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction characters featuring Disney
Pixar’s Mr. Incredible and Frozone have BrickHeadz eyes and iconic super hero costumes from the blockbuster Incredibles 2 movie.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other classic characters from your favorite movies, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Each character stands over 2” (7cm) tall without baseplate.
Baseplates measure over 1” (4cm) square.",Very Easy,Mr. Incredible & Frozone,5.0,BrickHeadz,5.0,DN,0.15,3.8
5023,10+,12.0,1.0,149.0,2.0,Growl like a Wookiee with a LEGO® BrickHeadz™ construction character featuring Chewbacca!,41609,"This LEGO® BrickHeadz™ 41609 Chewbacca is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including matted fur and ammunition belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Chewbacca has authentic details from the Star Wars saga, including matted fur, ammunition belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Chewbacca toy stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Chewbacca™,3.0,BrickHeadz,4.0,DN,0.08053691275167785,4.7
5024,10+,12.0,1.0,141.0,2.0,Be a rogue with a LEGO® BrickHeadz™ construction character featuring Han Solo!,41608,"This LEGO® BrickHeadz™ 41608 Han Solo is fun to build using colorful LEGO bricks that recreate all of his iconic details from the Star Wars saga, including a brown jacket and utility belt. He also has a detachable blaster and stands on a buildable collector's baseplate with BrickHeadz logo for easy display in your home, office or anywhere you like.
Buildable LEGO® BrickHeadz™ construction character featuring Han Solo has authentic details from the Star Wars saga, including an iconic brown jacket, utility belt and a detachable blaster.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring the BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from the Star Wars saga, and many more from your favorite TV series, games and comics.
Han Solo model stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Very Easy,Han Solo™,4.0,BrickHeadz,4.0,DN,0.0851063829787234,4.9
5025,10+,12.0,3.0,101.0,4.0,Save the universe with LEGO® BrickHeadz Iron Man MK50!,41604,"This Iron Man MK50 LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including his electromechanic armor suit. He also has thrusters for a speedy getaway and stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Iron Man MK50 LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers: Infinity War movie, including thrusters and iconic armor and mask.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Average,Iron Man MK50,4.7,BrickHeadz,4.5,DN,0.1188118811881188,4.7
5026,10+,12.0,2.0,105.0,3.0,Feel the power of Infinity with LEGO® BrickHeadz Thanos!,41605,"This Thanos LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations. He also stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Thanos LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the blockbuster Avengers Infinity War movie, including purple skin, chest armor and Infinity Gauntlet with Infinity gem decorations.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Thanos,5.0,BrickHeadz,5.0,DN,0.11428571428571428,4.7
5027,10+,12.0,1.0,113.0,5.0,Be a legendary outlaw with LEGO® BrickHeadz Star-Lord!,41606,"This Star-Lord LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets. He also has dual detachable blasters and stands on a buildable collector's baseplate for easy display in your home, office or any galaxy you like.
Buildable Star-Lord LEGO® BrickHeadz construction character features authentic details from the blockbuster Avengers: Infinity War movie, including golden hair, battle helmet, red eyes and boot rockets, plus dual detachable blasters.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",Easy,Star-Lord,5.0,BrickHeadz,5.0,DN,0.10619469026548672,4.9
5028,10+,12.0,1.0,136.0,,Master the skills of a green-skinned assassin with LEGO® BrickHeadz Gamora!,41607,"This Gamora LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of her iconic details from the blockbuster Avengers: Infinity War movie, including green skin, dark pink hair highlights and black outfit. She also has a detachable sword and stands on a buildable collector's baseplate for easy display in your home, office or anywhere you like.
Buildable Gamora LEGO® BrickHeadz construction character features BrickHeadz eyes and authentic details from the Avengers: Infinity War movie, including vibrant green skin, dark pink hair and sleek black outfit, plus a detachable sword.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Avengers: Infinity War movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create super-cool hybrids or your own amazing characters.
This construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square.",,Gamora,5.0,BrickHeadz,,DN,0.08823529411764706,5.0
5029,10+,12.0,4.0,126.0,2.0,Hop to it with a LEGO® BrickHeadz™ Easter Bunny!,40271,"Hunt for eggs with this fun LEGO® BrickHeadz™ Easter Bunny construction character. Check out its cute cheeks and enormous movable ears. This perfect seasonal gift also comes with a detachable carrot and bucket, plus 2 Easter eggs and flowers, and stands on a buildable collector's baseplate with a seasonal calendar and BrickHeadz logo for easy display in the home, office or anywhere they like.
Buildable LEGO® BrickHeadz™ Easter Bunny construction character features decorated eyes, movable ears and a detachable carrot and bucket.
Also includes 2 buildable Easter eggs and flowers.
Each LEGO® BrickHeadz™ construction character comes with its own buildable collector's baseplate featuring a seasonal calendar and BrickHeadz logo.
Have fun growing your LEGO® BrickHeadz™ collection with other characters from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz™ construction characters to create supercool hybrids or your own amazing characters.
Stands over 4” (12cm) tall without baseplate.
Baseplate measures over 4” (12cm) wide and 1” (5cm) deep.",Easy,Easter Bunny,5.0,BrickHeadz,4.5,DN,0.09523809523809523,4.8
5030,10+,12.0,5.0,143.0,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,"This Wonder Woman™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of her iconic details, including flowing black hair, headdress and gauntlets. She also has a detachable sword and shield in her hands, and stands on a buildable collector's baseplate with BrickHeadz icon for easy display. Add some Amazonian Warrior power to your home, office or anywhere you like.
Buildable Wonder Woman™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, headdress and gauntlets, plus a detachable sword and shield.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This popular construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Easy,Wonder Woman™,5.0,BrickHeadz,5.0,DN,0.08391608391608392,4.9
5031,10+,12.0,3.0,122.0,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,"The Flash™ LEGO® BrickHeadz construction character is fun to build using colorful LEGO bricks that recreate all of his iconic details, including buildable golden ear wings and lightning chest logo. He also stands on a buildable collector’s baseplate with BrickHeadz icon for easy display in your home, office or anywhere you like.
Buildable The Flash™ LEGO® BrickHeadz construction character features authentic details from the blockbuster Justice League movie, including BrickHeadz eyes, buildable golden ear wings and a lightning chest logo.
Each LEGO® BrickHeadz construction character comes with its own buildable collector's baseplate featuring the BrickHeadz icon.
Have fun growing your LEGO® BrickHeadz collection with other super heroes from the blockbuster Justice League movie, and many more from your favorite films, TV series, games and comics.
Mash up your LEGO® BrickHeadz construction characters to create supercool hybrids or your own amazing characters.
This cool construction character is suitable for ages 10+.
Stands over 2” (7cm) tall without baseplate.
Baseplate measures over 1” (4cm) square and under 1” (1cm) high.",Very Easy,The Flash™,4.0,BrickHeadz,3.0,DN,0.09836065573770492,4.7
